numero,url,nome,tipos,Peso_kg,altura_cm,efetividade_dict,habilidades_nomes,habilidades_urls,habilidades_descricoes,numero_evol,level_evol,item_evol,nome_evol,url_evol
1025,https://pokemondb.net/pokedex/pecharunt,Pecharunt,"Poison, Ghost",0.3,30.0,"{'Nor': 0.0, 'Fir': 1.0, 'Wat': 1.0, 'Ele': 1.0, 'Gra': 0.5, 'Ice': 1.0, 'Fig': 0.0, 'Poi': 0.25, 'Gro': 2.0}",,,,None,None,None,None,None
47,https://pokemondb.net/pokedex/parasect,Parasect,"Bug, Grass",29.5,100.0,"{'Nor': 1.0, 'Fir': 4.0, 'Wat': 0.5, 'Ele': 0.5, 'Gra': 0.25, 'Ice': 2.0, 'Fig': 0.5, 'Poi': 2.0, 'Gro': 0.25}",Damp; Dry Skin; Effect Spore,https://pokemondb.net/ability/damp; https://pokemondb.net/ability/dry-skin; https://pokemondb.net/ability/effect-spore,Damp prevents all Pokémon on the field from using the moves Selfdestruct and Explosion . It also prevents damage (to the Damp Pokémon only) from the ability Aftermath .; Dry Skin causes several effects:; Contact may poison or cause paralysis or sleep.,None,None,None,None,None
48,https://pokemondb.net/pokedex/venonat,Venonat,"Bug, Poison",30.0,100.0,"{'Nor': 1.0, 'Fir': 2.0, 'Wat': 1.0, 'Ele': 1.0, 'Gra': 0.25, 'Ice': 1.0, 'Fig': 0.25, 'Poi': 0.5, 'Gro': 1.0}",Run Away; Tinted Lens; Compound Eyes,https://pokemondb.net/ability/run-away; https://pokemondb.net/ability/tinted-lens; https://pokemondb.net/ability/compound-eyes,"Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind , or has an ability such as Arena Trap . Pokémon with Run Away cannot switch out for another Pokémon, only flee. It does not allow the Pokémon to flee from Trainer battles.; Powers up ""not very effective"" moves.; Compound Eyes raises the ability-bearer's accuracy by 30%. In Generations 3-5 , this ability's name was formatted as Compoundeyes . If a Pokémon with Compound Eyes is first in the party, Pokémon that can be holding items have that chance increase from 50% to 60% (for common items), 5% to 20% (for uncommon items) or 1% to 5% (for rare items).",49,None,None,Venomoth,https://pokemondb.net/pokedex/venomoth
49,https://pokemondb.net/pokedex/venomoth,Venomoth,"Bug, Poison",12.5,150.0,"{'Nor': 1.0, 'Fir': 2.0, 'Wat': 1.0, 'Ele': 1.0, 'Gra': 0.25, 'Ice': 1.0, 'Fig': 0.25, 'Poi': 0.5, 'Gro': 1.0}",Wonder Skin; Tinted Lens; Shield Dust,https://pokemondb.net/ability/wonder-skin; https://pokemondb.net/ability/tinted-lens; https://pokemondb.net/ability/shield-dust,"Wonder Skin halves the accuracy of all status moves targeted at the ability-bearer. It does not affect self-inflicted status moves like Reflect or Swords Dance , nor does it affect the secondary conditions of attacking moves like Flamethrower .; Powers up ""not very effective"" moves.; Blocks the added effects of attacks taken.",None,None,None,None,None
50,https://pokemondb.net/pokedex/diglett,Diglett,Ground,0.8,20.0,"{'Nor': 1.0, 'Fir': 1.0, 'Wat': 2.0, 'Ele': 0.0, 'Gra': 2.0, 'Ice': 2.0, 'Fig': 1.0, 'Poi': 0.5, 'Gro': 1.0}",Sand Force; Arena Trap; Sand Veil,https://pokemondb.net/ability/sand-force; https://pokemondb.net/ability/arena-trap; https://pokemondb.net/ability/sand-veil,"Sand Force raises the power of Ground , Rock and Steel type moves by 30% during a sandstorm . It also grants immunity to the sandstorm damage, if not already immune (currently this only applies to Shellos since all other Pokémon with the ability are already immune).; Arena Trap prevents opponents from fleeing or switching out. Raised Pokémon are not affected. Raised Pokémon are any Flying types or those under the effects of Levitate , Magnet Rise or Telekinesis . Full details in glossary . If a Pokémon with Arena Trap is the leading party Pokémon, wild Pokémon are twice as likely to appear.; Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm . It also gives immunity to sandstorm damage (if they are not already protected by being Ground / Rock / Steel type). If a Pokémon with Sand Veil is the leading party Pokémon while travelling in a sandstorm, wild Pokémon are only half as likely to appear.",51; 51,None; 26,None; None,Dugtrio; None,https://pokemondb.net/pokedex/dugtrio; None
51,https://pokemondb.net/pokedex/dugtrio,Dugtrio,Ground,33.3,70.0,"{'Nor': 1.0, 'Fir': 1.0, 'Wat': 2.0, 'Ele': 0.0, 'Gra': 2.0, 'Ice': 2.0, 'Fig': 1.0, 'Poi': 0.5, 'Gro': 1.0}",Sand Force; Arena Trap; Sand Veil,https://pokemondb.net/ability/sand-force; https://pokemondb.net/ability/arena-trap; https://pokemondb.net/ability/sand-veil,"Sand Force raises the power of Ground , Rock and Steel type moves by 30% during a sandstorm . It also grants immunity to the sandstorm damage, if not already immune (currently this only applies to Shellos since all other Pokémon with the ability are already immune).; Arena Trap prevents opponents from fleeing or switching out. Raised Pokémon are not affected. Raised Pokémon are any Flying types or those under the effects of Levitate , Magnet Rise or Telekinesis . Full details in glossary . If a Pokémon with Arena Trap is the leading party Pokémon, wild Pokémon are twice as likely to appear.; Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm . It also gives immunity to sandstorm damage (if they are not already protected by being Ground / Rock / Steel type). If a Pokémon with Sand Veil is the leading party Pokémon while travelling in a sandstorm, wild Pokémon are only half as likely to appear.",51,26,None,None,None
52,https://pokemondb.net/pokedex/meowth,Meowth,Normal,4.2,40.0,"{'Nor': 1.0, 'Fir': 1.0, 'Wat': 1.0, 'Ele': 1.0, 'Gra': 1.0, 'Ice': 1.0, 'Fig': 2.0, 'Poi': 1.0, 'Gro': 1.0}",Unnerve; Technician; Pickup,https://pokemondb.net/ability/unnerve; https://pokemondb.net/ability/technician; https://pokemondb.net/ability/pickup,"Makes the foe nervous and unable to eat Berries.; Technician increases the power of moves - that are usually base power 60 or below - by 50%. Moves with variable base power are boosted only when it is 60 or below. For example, if Magnitude hits at level 6 it will be boosted from 50 to 75, but level 7 will stay at 70 base power. Moves like Sonic Boom that deal fixed HP damage are not affected by Technician .; When another Pokémon on the field uses a single-use held item, a Pokémon with Pickup will obtain the used item (if they are not already holding anything) and it can be used again. Pokémon with Pickup will also obtain an item thrown at them with Fling (if they are not already holding anything). In Generations 3-4 , Pickup has no effect in battle. When a battle ends, any party Pokémon with Pickup has a 10% chance of picking up an item (if they are not already holding an item). Items picked up range from Potions, Great Balls, Ultra Balls and Rare Candies up to Leftovers and some TMs. Better items have a lower chance of being found; furthermore, higher-level Pokémon will obtain better items.",53; 53; 52; 863,None; None; 28; None,None; None; None; None,Persian; None; Meowth; Perrserker,https://pokemondb.net/pokedex/persian; None; https://pokemondb.net/pokedex/meowth; https://pokemondb.net/pokedex/perrserker
53,https://pokemondb.net/pokedex/persian,Persian,Normal,32.0,100.0,"{'Nor': 1.0, 'Fir': 1.0, 'Wat': 1.0, 'Ele': 1.0, 'Gra': 1.0, 'Ice': 1.0, 'Fig': 2.0, 'Poi': 1.0, 'Gro': 1.0}",Unnerve; Technician; Limber,https://pokemondb.net/ability/unnerve; https://pokemondb.net/ability/technician; https://pokemondb.net/ability/limber,"Makes the foe nervous and unable to eat Berries.; Technician increases the power of moves - that are usually base power 60 or below - by 50%. Moves with variable base power are boosted only when it is 60 or below. For example, if Magnitude hits at level 6 it will be boosted from 50 to 75, but level 7 will stay at 70 base power. Moves like Sonic Boom that deal fixed HP damage are not affected by Technician .; The Pokémon is protected from paralysis.",53; 52; 863,None; 28; None,None; None; None,None; Meowth; Perrserker,None; https://pokemondb.net/pokedex/meowth; https://pokemondb.net/pokedex/perrserker
54,https://pokemondb.net/pokedex/psyduck,Psyduck,Water,19.6,80.0,"{'Nor': 1.0, 'Fir': 0.5, 'Wat': 0.5, 'Ele': 2.0, 'Gra': 2.0, 'Ice': 0.5, 'Fig': 1.0, 'Poi': 1.0, 'Gro': 1.0}",Swift Swim; Cloud Nine; Damp,https://pokemondb.net/ability/swift-swim; https://pokemondb.net/ability/cloud-nine; https://pokemondb.net/ability/damp,"Swift Swim doubles the ability-bearer's Speed during rain .; Cloud Nine suppresses all effects brought on by weather, including move power increases, end-of-turn damage, accuracy changes, relevant abilities and so on.; Damp prevents all Pokémon on the field from using the moves Selfdestruct and Explosion . It also prevents damage (to the Damp Pokémon only) from the ability Aftermath .",55,None,None,Golduck,https://pokemondb.net/pokedex/golduck
55,https://pokemondb.net/pokedex/golduck,Golduck,Water,76.6,170.0,"{'Nor': 1.0, 'Fir': 0.5, 'Wat': 0.5, 'Ele': 2.0, 'Gra': 2.0, 'Ice': 0.5, 'Fig': 1.0, 'Poi': 1.0, 'Gro': 1.0}",Swift Swim; Cloud Nine; Damp,https://pokemondb.net/ability/swift-swim; https://pokemondb.net/ability/cloud-nine; https://pokemondb.net/ability/damp,"Swift Swim doubles the ability-bearer's Speed during rain .; Cloud Nine suppresses all effects brought on by weather, including move power increases, end-of-turn damage, accuracy changes, relevant abilities and so on.; Damp prevents all Pokémon on the field from using the moves Selfdestruct and Explosion . It also prevents damage (to the Damp Pokémon only) from the ability Aftermath .",None,None,None,None,None
