numero,url,nome,proximas_evolucoes,tamanho,peso,tipos,efetividade,habilidades
1025,https://pokemondb.net/pokedex/pecharunt,Pecharunt,,0.3 m (1′00″),0.3 kg (0.7 lbs),"Poison, Ghost","{'Nor': '0', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '½', 'Ice': '1', 'Fig': '0', 'Poi': '¼', 'Gro': '2'}","[{'url': 'https://pokemondb.net/ability/poison-puppeteer', 'nome': 'Poison Puppeteer', 'descricao': 'Pokémon poisoned by Pecharunt’s moves will also become confused.'}]"
0047,https://pokemondb.net/pokedex/parasect,Parasect,,1.0 m (3′03″),29.5 kg (65.0 lbs),"Bug, Grass","{'Nor': '1', 'Fir': '4', 'Wat': '½', 'Ele': '½', 'Gra': '¼', 'Ice': '2', 'Fig': '½', 'Poi': '2', 'Gro': '¼'}","[{'url': 'https://pokemondb.net/ability/damp', 'nome': 'Damp', 'descricao': 'Damp prevents all Pokémon on the field from using the moves Selfdestruct and Explosion . It also prevents damage (to the Damp Pokémon only) from the ability Aftermath .'}, {'url': 'https://pokemondb.net/ability/dry-skin', 'nome': 'Dry Skin', 'descricao': 'Dry Skin causes several effects:'}, {'url': 'https://pokemondb.net/ability/effect-spore', 'nome': 'Effect Spore', 'descricao': 'Contact may poison or cause paralysis or sleep.'}]"
0048,https://pokemondb.net/pokedex/venonat,Venonat,"[{'numero': '#0049', 'level': None, 'item': None, 'nome': 'Venomoth', 'url': 'https://pokemondb.net/pokedex/venomoth'}]",1.0 m (3′03″),30.0 kg (66.1 lbs),"Bug, Poison","{'Nor': '1', 'Fir': '2', 'Wat': '1', 'Ele': '1', 'Gra': '¼', 'Ice': '1', 'Fig': '¼', 'Poi': '½', 'Gro': '1'}","[{'url': 'https://pokemondb.net/ability/run-away', 'nome': 'Run Away', 'descricao': 'Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind , or has an ability such as Arena Trap . Pokémon with Run Away cannot switch out for another Pokémon, only flee. It does not allow the Pokémon to flee from Trainer battles.'}, {'url': 'https://pokemondb.net/ability/tinted-lens', 'nome': 'Tinted Lens', 'descricao': 'Powers up “not very effective” moves.'}, {'url': 'https://pokemondb.net/ability/compound-eyes', 'nome': 'Compound Eyes', 'descricao': ""Compound Eyes raises the ability-bearer's accuracy by 30%. In Generations 3-5 , this ability's name was formatted as Compoundeyes . If a Pokémon with Compound Eyes is first in the party, Pokémon that can be holding items have that chance increase from 50% to 60% (for common items), 5% to 20% (for uncommon items) or 1% to 5% (for rare items).""}]"
0049,https://pokemondb.net/pokedex/venomoth,Venomoth,,1.5 m (4′11″),12.5 kg (27.6 lbs),"Bug, Poison","{'Nor': '1', 'Fir': '2', 'Wat': '1', 'Ele': '1', 'Gra': '¼', 'Ice': '1', 'Fig': '¼', 'Poi': '½', 'Gro': '1'}","[{'url': 'https://pokemondb.net/ability/wonder-skin', 'nome': 'Wonder Skin', 'descricao': 'Wonder Skin halves the accuracy of all status moves targeted at the ability-bearer. It does not affect self-inflicted status moves like Reflect or Swords Dance , nor does it affect the secondary conditions of attacking moves like Flamethrower .'}, {'url': 'https://pokemondb.net/ability/tinted-lens', 'nome': 'Tinted Lens', 'descricao': 'Powers up “not very effective” moves.'}, {'url': 'https://pokemondb.net/ability/shield-dust', 'nome': 'Shield Dust', 'descricao': 'Blocks the added effects of attacks taken.'}]"
0050,https://pokemondb.net/pokedex/diglett,Diglett,"[{'numero': '#0051', 'level': '#0050', 'item': None, 'nome': 'Dugtrio', 'url': 'https://pokemondb.net/pokedex/dugtrio'}, {'numero': '(Level 26)', 'level': '#0051', 'item': None, 'nome': None, 'url': None}]",0.2 m (0′08″),0.8 kg (1.8 lbs),Ground,"{'Nor': '1', 'Fir': '1', 'Wat': '2', 'Ele': '0', 'Gra': '2', 'Ice': '2', 'Fig': '1', 'Poi': '½', 'Gro': '1'}","[{'url': 'https://pokemondb.net/ability/sand-force', 'nome': 'Sand Force', 'descricao': 'Sand Force raises the power of Ground , Rock and Steel type moves by 30% during a sandstorm . It also grants immunity to the sandstorm damage, if not already immune (currently this only applies to Shellos since all other Pokémon with the ability are already immune).'}, {'url': 'https://pokemondb.net/ability/arena-trap', 'nome': 'Arena Trap', 'descricao': 'Arena Trap prevents opponents from fleeing or switching out. Raised Pokémon are not affected. Raised Pokémon are any Flying types or those under the effects of Levitate , Magnet Rise or Telekinesis . Full details in glossary . If a Pokémon with Arena Trap is the leading party Pokémon, wild Pokémon are twice as likely to appear.'}, {'url': 'https://pokemondb.net/ability/sand-veil', 'nome': 'Sand Veil', 'descricao': ""Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm . It also gives immunity to sandstorm damage (if they are not already protected by being Ground / Rock / Steel type). If a Pokémon with Sand Veil is the leading party Pokémon while travelling in a sandstorm, wild Pokémon are only half as likely to appear.""}]"
0050,https://pokemondb.net/pokedex/diglett,Diglett,"[{'numero': '#0051', 'level': '#0050', 'item': None, 'nome': 'Dugtrio', 'url': 'https://pokemondb.net/pokedex/dugtrio'}, {'numero': '(Level 26)', 'level': '#0051', 'item': None, 'nome': None, 'url': None}]",0.2 m (0′08″),0.8 kg (1.8 lbs),Ground,"{'Nor': '1', 'Fir': '1', 'Wat': '2', 'Ele': '0', 'Gra': '2', 'Ice': '2', 'Fig': '1', 'Poi': '½', 'Gro': '1'}","[{'url': 'https://pokemondb.net/ability/sand-force', 'nome': 'Sand Force', 'descricao': 'Sand Force raises the power of Ground , Rock and Steel type moves by 30% during a sandstorm . It also grants immunity to the sandstorm damage, if not already immune (currently this only applies to Shellos since all other Pokémon with the ability are already immune).'}, {'url': 'https://pokemondb.net/ability/arena-trap', 'nome': 'Arena Trap', 'descricao': 'Arena Trap prevents opponents from fleeing or switching out. Raised Pokémon are not affected. Raised Pokémon are any Flying types or those under the effects of Levitate , Magnet Rise or Telekinesis . Full details in glossary . If a Pokémon with Arena Trap is the leading party Pokémon, wild Pokémon are twice as likely to appear.'}, {'url': 'https://pokemondb.net/ability/sand-veil', 'nome': 'Sand Veil', 'descricao': ""Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm . It also gives immunity to sandstorm damage (if they are not already protected by being Ground / Rock / Steel type). If a Pokémon with Sand Veil is the leading party Pokémon while travelling in a sandstorm, wild Pokémon are only half as likely to appear.""}]"
0051,https://pokemondb.net/pokedex/dugtrio,Dugtrio,"[{'numero': '(Level 26)', 'level': '#0051', 'item': None, 'nome': None, 'url': None}]",0.7 m (2′04″),33.3 kg (73.4 lbs),Ground,"{'Nor': '1', 'Fir': '1', 'Wat': '2', 'Ele': '0', 'Gra': '2', 'Ice': '2', 'Fig': '1', 'Poi': '½', 'Gro': '1'}","[{'url': 'https://pokemondb.net/ability/sand-force', 'nome': 'Sand Force', 'descricao': 'Sand Force raises the power of Ground , Rock and Steel type moves by 30% during a sandstorm . It also grants immunity to the sandstorm damage, if not already immune (currently this only applies to Shellos since all other Pokémon with the ability are already immune).'}, {'url': 'https://pokemondb.net/ability/arena-trap', 'nome': 'Arena Trap', 'descricao': 'Arena Trap prevents opponents from fleeing or switching out. Raised Pokémon are not affected. Raised Pokémon are any Flying types or those under the effects of Levitate , Magnet Rise or Telekinesis . Full details in glossary . If a Pokémon with Arena Trap is the leading party Pokémon, wild Pokémon are twice as likely to appear.'}, {'url': 'https://pokemondb.net/ability/sand-veil', 'nome': 'Sand Veil', 'descricao': ""Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm . It also gives immunity to sandstorm damage (if they are not already protected by being Ground / Rock / Steel type). If a Pokémon with Sand Veil is the leading party Pokémon while travelling in a sandstorm, wild Pokémon are only half as likely to appear.""}]"
0051,https://pokemondb.net/pokedex/dugtrio,Dugtrio,"[{'numero': '(Level 26)', 'level': '#0051', 'item': None, 'nome': None, 'url': None}]",0.7 m (2′04″),33.3 kg (73.4 lbs),Ground,"{'Nor': '1', 'Fir': '1', 'Wat': '2', 'Ele': '0', 'Gra': '2', 'Ice': '2', 'Fig': '1', 'Poi': '½', 'Gro': '1'}","[{'url': 'https://pokemondb.net/ability/sand-force', 'nome': 'Sand Force', 'descricao': 'Sand Force raises the power of Ground , Rock and Steel type moves by 30% during a sandstorm . It also grants immunity to the sandstorm damage, if not already immune (currently this only applies to Shellos since all other Pokémon with the ability are already immune).'}, {'url': 'https://pokemondb.net/ability/arena-trap', 'nome': 'Arena Trap', 'descricao': 'Arena Trap prevents opponents from fleeing or switching out. Raised Pokémon are not affected. Raised Pokémon are any Flying types or those under the effects of Levitate , Magnet Rise or Telekinesis . Full details in glossary . If a Pokémon with Arena Trap is the leading party Pokémon, wild Pokémon are twice as likely to appear.'}, {'url': 'https://pokemondb.net/ability/sand-veil', 'nome': 'Sand Veil', 'descricao': ""Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm . It also gives immunity to sandstorm damage (if they are not already protected by being Ground / Rock / Steel type). If a Pokémon with Sand Veil is the leading party Pokémon while travelling in a sandstorm, wild Pokémon are only half as likely to appear.""}]"
0052,https://pokemondb.net/pokedex/meowth,Meowth,"[{'numero': '#0053', 'level': '#0052', 'item': None, 'nome': 'Persian', 'url': 'https://pokemondb.net/pokedex/persian'}, {'numero': '(high ', 'level': '#0053', 'item': None, 'nome': None, 'url': None}, {'numero': '#0052', 'level': 'Level 28', 'item': None, 'nome': 'Meowth', 'url': 'https://pokemondb.net/pokedex/meowth'}, {'numero': '#0863', 'level': None, 'item': None, 'nome': 'Perrserker', 'url': 'https://pokemondb.net/pokedex/perrserker'}]",0.4 m (1′04″),4.2 kg (9.3 lbs),Normal,"{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '1', 'Ice': '1', 'Fig': '2', 'Poi': '1', 'Gro': '1'}","[{'url': 'https://pokemondb.net/ability/unnerve', 'nome': 'Unnerve', 'descricao': 'Makes the foe nervous and unable to eat Berries.'}, {'url': 'https://pokemondb.net/ability/technician', 'nome': 'Technician', 'descricao': 'Technician increases the power of moves - that are usually base power 60 or below - by 50%. Moves with variable base power are boosted only when it is 60 or below. For example, if Magnitude hits at level 6 it will be boosted from 50 to 75, but level 7 will stay at 70 base power. Moves like Sonic Boom that deal fixed HP damage are not affected by Technician .'}, {'url': 'https://pokemondb.net/ability/pickup', 'nome': 'Pickup', 'descricao': 'When another Pokémon on the field uses a single-use held item, a Pokémon with Pickup will obtain the used item (if they are not already holding anything) and it can be used again. Pokémon with Pickup will also obtain an item thrown at them with Fling (if they are not already holding anything). In Generations 3-4 , Pickup has no effect in battle. When a battle ends, any party Pokémon with Pickup has a 10% chance of picking up an item (if they are not already holding an item). Items picked up range from Potions, Great Balls, Ultra Balls and Rare Candies up to Leftovers and some TMs. Better items have a lower chance of being found; furthermore, higher-level Pokémon will obtain better items.'}]"
0052,https://pokemondb.net/pokedex/meowth,Meowth,"[{'numero': '#0053', 'level': '#0052', 'item': None, 'nome': 'Persian', 'url': 'https://pokemondb.net/pokedex/persian'}, {'numero': '(high ', 'level': '#0053', 'item': None, 'nome': None, 'url': None}, {'numero': '#0052', 'level': 'Level 28', 'item': None, 'nome': 'Meowth', 'url': 'https://pokemondb.net/pokedex/meowth'}, {'numero': '#0863', 'level': None, 'item': None, 'nome': 'Perrserker', 'url': 'https://pokemondb.net/pokedex/perrserker'}]",0.4 m (1′04″),4.2 kg (9.3 lbs),Normal,"{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '1', 'Ice': '1', 'Fig': '2', 'Poi': '1', 'Gro': '1'}","[{'url': 'https://pokemondb.net/ability/unnerve', 'nome': 'Unnerve', 'descricao': 'Makes the foe nervous and unable to eat Berries.'}, {'url': 'https://pokemondb.net/ability/technician', 'nome': 'Technician', 'descricao': 'Technician increases the power of moves - that are usually base power 60 or below - by 50%. Moves with variable base power are boosted only when it is 60 or below. For example, if Magnitude hits at level 6 it will be boosted from 50 to 75, but level 7 will stay at 70 base power. Moves like Sonic Boom that deal fixed HP damage are not affected by Technician .'}, {'url': 'https://pokemondb.net/ability/pickup', 'nome': 'Pickup', 'descricao': 'When another Pokémon on the field uses a single-use held item, a Pokémon with Pickup will obtain the used item (if they are not already holding anything) and it can be used again. Pokémon with Pickup will also obtain an item thrown at them with Fling (if they are not already holding anything). In Generations 3-4 , Pickup has no effect in battle. When a battle ends, any party Pokémon with Pickup has a 10% chance of picking up an item (if they are not already holding an item). Items picked up range from Potions, Great Balls, Ultra Balls and Rare Candies up to Leftovers and some TMs. Better items have a lower chance of being found; furthermore, higher-level Pokémon will obtain better items.'}]"
